seed,theta,k,eps1,eps2,both_zero
87,1,1.0,0.0,0.0,1.0
88,3,2.0,0.0,0.0,1.0
89,3,0.5,0.5,0.5,0.0
90,1,0.5,-0.5,0.0,0.0
91,2,0.5,0.5,0.0,0.0
92,2,1.0,0.5,0.0,0.0
93,1,1.0,0.0,0.5,0.0
94,1,0.5,0.5,0.0,0.0
95,2,2.0,-0.5,0.5,0.0
96,1,0.5,-0.5,0.5,0.0
97,2,0.5,0.5,0.0,0.0
98,2,0.5,0.0,-0.5,0.0
99,1,2.0,0.0,0.5,0.0
100,1,0.5,0.0,0.5,0.0
101,1,2.0,0.0,0.0,1.0
102,3,1.0,0.5,0.5,0.0
103,1,2.0,-0.5,0.5,0.0
104,3,2.0,0.5,-0.5,0.0
105,1,0.5,0.5,0.5,0.0
106,1,1.0,-0.5,0.5,0.0
107,3,1.0,0.5,0.0,0.0
108,2,1.0,0.5,0.5,0.0
109,3,2.0,0.0,-0.5,0.0
110,1,2.0,0.5,0.5,0.0
111,3,2.0,-0.5,0.0,0.0
112,2,2.0,0.0,-0.5,0.0
113,3,2.0,0.0,0.0,1.0
114,2,1.0,0.5,0.5,0.0
115,1,2.0,0.5,-0.5,0.0
116,3,2.0,0.0,0.5,0.0
117,1,2.0,0.5,-0.5,0.0
118,1,1.0,-0.5,0.5,0.0
119,3,2.0,-0.5,0.5,0.0
120,3,0.5,0.0,-0.5,0.0
121,1,2.0,0.5,-0.5,0.0
122,3,1.0,0.5,0.0,0.0
123,3,0.5,0.0,-0.5,0.0
124,3,0.5,0.0,0.0,1.0
125,3,2.0,0.0,-0.5,0.0
126,2,2.0,-0.5,-0.5,0.0
127,1,2.0,0.5,0.0,0.0
128,2,0.5,0.5,0.0,0.0
129,1,0.5,0.0,0.0,1.0
130,1,2.0,0.5,-0.5,0.0
131,1,2.0,-0.5,-0.5,0.0
132,2,1.0,0.5,0.5,0.0
133,2,2.0,0.5,0.5,0.0
134,2,2.0,0.5,0.5,0.0
135,1,2.0,0.5,0.0,0.0
136,2,2.0,0.0,0.0,1.0
137,3,1.0,-0.5,-0.5,0.0
138,1,2.0,0.5,0.0,0.0
139,2,0.5,0.5,-0.5,0.0
140,1,0.5,-0.5,0.5,0.0
141,3,0.5,-0.5,0.0,0.0
142,2,1.0,0.0,0.5,0.0
143,3,1.0,0.0,0.0,1.0
144,1,1.0,0.0,-0.5,0.0
145,2,1.0,0.5,0.5,0.0
146,1,0.5,-0.5,0.5,0.0
147,2,0.5,-0.5,0.0,0.0
148,2,2.0,0.0,-0.5,0.0
149,2,1.0,0.5,0.5,0.0
150,3,1.0,0.5,0.5,0.0
151,1,0.5,-0.5,0.0,0.0
152,2,0.5,0.0,-0.5,0.0
153,1,2.0,-0.5,-0.5,0.0
154,2,2.0,-0.5,-0.5,0.0
155,2,0.5,0.5,0.5,0.0
156,2,2.0,0.5,0.5,0.0
157,1,2.0,0.5,0.5,0.0
158,1,0.5,0.5,0.0,0.0
159,1,0.5,-0.5,0.0,0.0
160,3,0.5,0.5,0.5,0.0
161,1,0.5,0.5,0.0,0.0
162,3,2.0,-0.5,0.0,0.0
163,2,2.0,0.0,0.0,1.0
164,1,2.0,-0.5,0.0,0.0
165,2,1.0,-0.5,0.0,0.0
166,3,0.5,0.0,-0.5,0.0
167,3,2.0,-0.5,0.5,0.0
168,1,1.0,0.0,0.0,1.0
169,1,0.5,0.0,-0.5,0.0
170,3,1.0,-0.5,0.5,0.0
171,2,1.0,-0.5,0.0,0.0
172,1,0.5,0.5,0.0,0.0
173,1,2.0,-0.5,0.5,0.0
174,2,2.0,0.5,-0.5,0.0
175,2,2.0,0.0,-0.5,0.0
176,1,2.0,-0.5,-0.5,0.0
177,2,0.5,0.0,0.5,0.0
178,3,1.0,0.5,0.5,0.0
179,2,2.0,0.0,0.5,0.0
180,3,1.0,0.0,0.0,1.0
181,2,1.0,0.5,0.0,0.0
182,3,0.5,0.5,0.0,0.0
183,1,1.0,0.0,0.0,1.0
184,1,2.0,0.5,-0.5,0.0
185,3,0.5,0.5,0.0,0.0
186,2,1.0,0.5,-0.5,0.0
187,3,0.5,0.5,-0.5,0.0
188,2,1.0,0.5,0.0,0.0
189,1,0.5,0.5,-0.5,0.0
190,2,1.0,0.0,0.0,1.0
191,1,2.0,0.0,0.0,1.0
192,1,1.0,0.0,0.5,0.0
193,3,0.5,0.0,0.5,0.0
194,3,1.0,0.5,0.5,0.0
195,3,1.0,-0.5,0.5,0.0
196,3,1.0,0.5,0.5,0.0
197,1,0.5,0.5,0.5,0.0
198,3,1.0,-0.5,-0.5,0.0
199,3,1.0,0.0,-0.5,0.0
200,1,1.0,0.0,0.0,1.0
201,2,1.0,0.0,0.5,0.0
202,1,2.0,-0.5,0.0,0.0
203,3,0.5,0.0,-0.5,0.0
204,2,1.0,-0.5,-0.5,0.0
205,1,2.0,0.0,0.0,1.0
206,2,2.0,0.5,-0.5,0.0
207,1,2.0,0.5,0.5,0.0
208,1,2.0,0.0,0.5,0.0
209,1,2.0,0.5,-0.5,0.0
210,3,0.5,-0.5,0.0,0.0
211,1,1.0,0.0,-0.5,0.0
212,2,2.0,0.0,0.0,1.0
213,1,2.0,0.0,0.0,1.0
214,1,1.0,0.5,0.5,0.0
215,1,2.0,0.0,0.5,0.0
216,1,1.0,0.0,-0.5,0.0
217,1,1.0,0.0,0.0,1.0
218,1,1.0,0.0,0.0,1.0
219,2,1.0,-0.5,0.0,0.0
220,1,2.0,0.0,0.5,0.0
221,2,1.0,0.0,-0.5,0.0
222,1,1.0,0.5,-0.5,0.0
223,2,2.0,0.0,0.5,0.0
224,1,1.0,-0.5,0.5,0.0
225,1,1.0,0.0,0.5,0.0
226,2,1.0,-0.5,0.0,0.0
227,2,2.0,0.5,0.0,0.0
228,3,2.0,-0.5,0.5,0.0
229,2,2.0,0.0,0.0,1.0
230,1,0.5,0.5,-0.5,0.0
231,3,0.5,0.0,0.5,0.0
232,3,0.5,-0.5,-0.5,0.0
233,1,0.5,0.5,0.5,0.0
234,2,1.0,-0.5,0.5,0.0
235,2,1.0,0.5,0.0,0.0
236,1,1.0,0.5,0.0,0.0
237,2,0.5,0.0,0.5,0.0
238,3,2.0,0.0,0.5,0.0
239,1,1.0,0.0,0.0,1.0
240,2,2.0,-0.5,0.5,0.0
241,1,1.0,0.5,-0.5,0.0
242,3,1.0,0.0,-0.5,0.0
243,1,0.5,0.5,-0.5,0.0
244,3,1.0,0.5,-0.5,0.0
245,3,1.0,-0.5,-0.5,0.0
246,3,2.0,0.5,0.5,0.0
247,1,1.0,0.0,0.0,1.0
248,3,2.0,-0.5,0.5,0.0
249,2,1.0,0.5,0.0,0.0
250,3,0.5,0.5,-0.5,0.0
251,1,2.0,0.0,0.5,0.0
252,3,1.0,0.5,0.5,0.0
253,2,1.0,0.0,0.0,1.0
254,3,2.0,0.0,-0.5,0.0
255,2,2.0,-0.5,-0.5,0.0
256,3,1.0,0.5,0.0,0.0
257,1,0.5,0.0,-0.5,0.0
258,3,1.0,0.5,0.5,0.0
259,2,0.5,0.0,-0.5,0.0
260,3,1.0,0.5,0.0,0.0
261,1,1.0,-0.5,0.0,0.0
262,2,1.0,0.5,0.0,0.0
263,2,1.0,0.5,0.0,0.0
264,2,1.0,-0.5,-0.5,0.0
265,1,1.0,0.5,0.0,0.0
266,3,2.0,-0.5,-0.5,0.0
267,1,1.0,0.5,0.0,0.0
268,3,1.0,0.5,0.0,0.0
269,1,0.5,-0.5,0.5,0.0
270,3,1.0,0.5,-0.5,0.0
271,2,2.0,0.0,0.0,1.0
272,1,2.0,0.0,0.0,1.0
273,2,0.5,0.0,-0.5,0.0
274,2,2.0,0.5,-0.5,0.0
275,2,0.5,0.5,0.5,0.0
276,3,2.0,0.5,0.0,0.0
277,2,1.0,0.5,-0.5,0.0
278,1,0.5,-0.5,0.5,0.0
279,2,1.0,0.5,0.0,0.0
280,2,0.5,0.5,0.5,0.0
281,1,1.0,-0.5,0.0,0.0
282,2,0.5,0.5,-0.5,0.0
283,3,1.0,-0.5,-0.5,0.0
284,1,1.0,0.5,-0.5,0.0
285,1,2.0,-0.5,-0.5,0.0
286,3,1.0,-0.5,0.0,0.0
287,2,1.0,-0.5,0.5,0.0
288,2,2.0,0.0,0.0,1.0
289,1,2.0,0.0,-0.5,0.0
290,2,2.0,0.5,-0.5,0.0
291,3,1.0,-0.5,0.0,0.0
292,2,0.5,0.5,0.5,0.0
293,2,1.0,0.0,-0.5,0.0
294,3,0.5,0.5,-0.5,0.0
295,3,2.0,-0.5,0.5,0.0
296,2,2.0,0.0,0.0,1.0
297,1,0.5,0.0,0.0,1.0
298,2,1.0,-0.5,0.5,0.0
299,3,2.0,-0.5,0.5,0.0
300,3,0.5,0.5,0.0,0.0
301,2,0.5,0.5,0.5,0.0
302,3,2.0,-0.5,-0.5,0.0
303,3,2.0,0.0,0.0,1.0
304,2,1.0,0.5,0.0,0.0
305,2,1.0,-0.5,0.0,0.0
306,2,0.5,-0.5,-0.5,0.0
307,1,2.0,0.0,0.0,1.0
308,3,2.0,-0.5,0.5,0.0
309,1,2.0,0.0,0.5,0.0
310,3,0.5,0.5,-0.5,0.0
311,2,2.0,0.0,0.5,0.0
312,1,0.5,0.0,0.5,0.0
313,1,2.0,-0.5,0.5,0.0
314,2,1.0,0.0,0.5,0.0
315,3,2.0,0.0,-0.5,0.0
316,1,0.5,-0.5,0.0,0.0
317,2,0.5,0.5,0.5,0.0
318,1,0.5,0.5,0.5,0.0
319,2,2.0,-0.5,0.0,0.0
320,2,0.5,-0.5,0.0,0.0
321,2,1.0,-0.5,0.5,0.0
322,3,1.0,0.5,0.0,0.0
323,3,1.0,0.0,0.5,0.0
324,1,0.5,-0.5,-0.5,0.0
325,1,2.0,0.0,-0.5,0.0
326,3,2.0,-0.5,0.5,0.0
327,1,1.0,-0.5,0.0,0.0
328,3,0.5,0.5,-0.5,0.0
329,3,1.0,-0.5,0.0,0.0
330,2,1.0,0.0,0.0,1.0
331,3,0.5,0.5,0.0,0.0
332,3,1.0,0.0,0.0,1.0
333,1,1.0,-0.5,0.0,0.0
334,2,2.0,0.0,0.0,1.0
335,2,1.0,-0.5,0.5,0.0
336,2,1.0,0.0,0.5,0.0
337,1,0.5,-0.5,0.0,0.0
338,1,2.0,-0.5,0.0,0.0
339,1,0.5,0.5,0.5,0.0
340,2,0.5,-0.5,0.0,0.0
341,1,2.0,0.5,0.5,0.0
342,2,1.0,0.5,0.5,0.0
343,1,0.5,-0.5,0.5,0.0
344,3,2.0,0.5,0.0,0.0
345,2,2.0,0.0,0.0,1.0
346,1,2.0,-0.5,0.5,0.0
347,2,2.0,0.0,0.0,1.0
348,3,1.0,0.0,0.0,1.0
349,3,1.0,0.0,0.0,1.0
350,1,2.0,0.5,0.0,0.0
351,2,1.0,0.5,-0.5,0.0
352,3,1.0,0.0,0.0,1.0
353,1,1.0,0.5,-0.5,0.0
354,3,0.5,0.0,0.5,0.0
355,2,0.5,0.0,0.0,1.0
356,2,0.5,0.0,-0.5,0.0
357,2,1.0,0.0,-0.5,0.0
358,2,1.0,0.5,0.5,0.0
359,1,2.0,0.0,0.0,1.0
360,2,1.0,-0.5,-0.5,0.0
361,2,1.0,0.5,0.5,0.0
362,3,1.0,0.0,0.0,1.0
363,2,2.0,0.0,-0.5,0.0
364,2,0.5,0.5,-0.5,0.0
365,3,1.0,-0.5,0.0,0.0
366,3,1.0,0.5,-0.5,0.0
367,2,0.5,0.0,-0.5,0.0
368,3,1.0,0.5,0.0,0.0
369,3,2.0,0.0,0.5,0.0
370,2,2.0,0.5,0.0,0.0
371,3,1.0,0.0,0.5,0.0
372,1,0.5,0.5,0.0,0.0
373,3,2.0,0.5,0.5,0.0
374,2,0.5,0.5,0.5,0.0
375,1,0.5,0.0,-0.5,0.0
376,2,1.0,0.0,0.0,1.0
377,2,2.0,0.0,-0.5,0.0
378,3,1.0,0.5,-0.5,0.0
379,1,1.0,0.0,0.5,0.0
380,2,2.0,0.0,0.0,1.0
381,2,1.0,0.5,-0.5,0.0
382,3,1.0,0.5,0.5,0.0
383,3,0.5,0.5,0.0,0.0
384,2,2.0,-0.5,-0.5,0.0
385,1,1.0,-0.5,0.0,0.0
386,1,1.0,-0.5,-0.5,0.0
387,2,0.5,-0.5,0.5,0.0
388,1,2.0,0.5,0.0,0.0
389,2,2.0,0.0,0.5,0.0
390,2,0.5,-0.5,-0.5,0.0
391,2,1.0,0.0,0.5,0.0
392,3,0.5,-0.5,0.0,0.0
393,2,1.0,0.0,-0.5,0.0
394,1,0.5,-0.5,0.5,0.0
395,2,2.0,-0.5,-0.5,0.0
396,1,2.0,-0.5,-0.5,0.0
397,1,1.0,-0.5,0.5,0.0
398,3,1.0,0.5,0.0,0.0
399,1,0.5,0.5,-0.5,0.0
400,2,1.0,-0.5,0.0,0.0
401,2,2.0,0.0,0.5,0.0
402,2,2.0,0.0,0.5,0.0
403,1,0.5,-0.5,-0.5,0.0
404,2,2.0,-0.5,-0.5,0.0
405,3,0.5,0.5,0.0,0.0
406,1,0.5,0.0,0.5,0.0
407,3,1.0,-0.5,-0.5,0.0
408,2,0.5,-0.5,0.0,0.0
409,2,1.0,0.0,0.0,1.0
410,3,0.5,-0.5,0.0,0.0
411,3,2.0,-0.5,0.5,0.0
412,1,1.0,0.5,0.0,0.0
413,2,0.5,0.0,0.5,0.0
414,3,0.5,-0.5,-0.5,0.0
415,3,1.0,-0.5,0.0,0.0
416,2,0.5,0.5,0.0,0.0
417,3,0.5,0.5,0.0,0.0
418,1,0.5,-0.5,0.5,0.0
419,2,1.0,0.5,0.5,0.0
420,3,1.0,0.0,-0.5,0.0
421,3,2.0,-0.5,0.0,0.0
422,1,0.5,-0.5,-0.5,0.0
423,3,1.0,-0.5,0.0,0.0
424,2,1.0,0.0,0.5,0.0
425,2,2.0,-0.5,-0.5,0.0
426,1,2.0,0.0,-0.5,0.0
427,1,1.0,0.5,-0.5,0.0
428,1,0.5,-0.5,0.0,0.0
429,1,1.0,0.0,0.0,1.0
430,3,0.5,0.0,0.0,1.0
431,3,1.0,0.5,0.5,0.0
432,3,1.0,-0.5,0.0,0.0
433,1,1.0,0.0,0.5,0.0
434,1,0.5,-0.5,-0.5,0.0
435,3,2.0,0.0,-0.5,0.0
436,1,0.5,-0.5,0.0,0.0
437,1,0.5,0.0,-0.5,0.0
438,1,1.0,0.0,0.5,0.0
439,2,0.5,0.5,0.0,0.0
440,1,2.0,0.0,-0.5,0.0
441,2,2.0,-0.5,0.0,0.0
442,3,0.5,-0.5,0.0,0.0
443,1,2.0,-0.5,-0.5,0.0
444,1,2.0,0.5,-0.5,0.0
445,2,1.0,-0.5,-0.5,0.0
446,1,1.0,0.5,-0.5,0.0
447,2,1.0,0.0,-0.5,0.0
448,3,2.0,0.0,0.0,1.0
449,1,0.5,0.5,-0.5,0.0
450,2,1.0,0.0,0.0,1.0
451,2,2.0,0.0,0.5,0.0
452,1,0.5,0.0,-0.5,0.0
453,1,2.0,-0.5,0.0,0.0
454,3,2.0,-0.5,-0.5,0.0
455,2,2.0,0.0,0.5,0.0
456,3,1.0,0.0,-0.5,0.0
457,3,0.5,0.5,0.5,0.0
458,3,0.5,-0.5,-0.5,0.0
459,2,0.5,-0.5,0.0,0.0
460,3,0.5,-0.5,0.0,0.0
461,2,1.0,0.0,0.5,0.0
462,3,1.0,-0.5,0.0,0.0
463,3,0.5,-0.5,0.0,0.0
464,3,0.5,0.0,-0.5,0.0
465,1,0.5,-0.5,0.5,0.0
466,3,2.0,0.5,0.0,0.0
467,1,2.0,-0.5,0.0,0.0
468,1,2.0,0.0,0.5,0.0
469,2,1.0,0.0,0.0,1.0
470,3,1.0,0.5,0.5,0.0
471,3,2.0,-0.5,-0.5,0.0
472,3,2.0,0.0,0.0,1.0
473,3,1.0,0.0,0.5,0.0
474,3,0.5,-0.5,0.0,0.0
475,1,0.5,-0.5,-0.5,0.0
476,2,2.0,0.0,-0.5,0.0
477,3,1.0,0.0,0.5,0.0
478,2,1.0,-0.5,-0.5,0.0
479,3,1.0,0.5,0.0,0.0
480,1,1.0,0.0,0.5,0.0
481,3,2.0,0.0,-0.5,0.0
482,1,0.5,-0.5,-0.5,0.0
483,3,2.0,0.0,0.5,0.0
484,1,0.5,0.0,-0.5,0.0
485,2,1.0,0.0,0.0,1.0
486,2,2.0,-0.5,-0.5,0.0
487,2,0.5,-0.5,0.5,0.0
488,2,1.0,0.5,0.5,0.0
489,2,2.0,0.5,0.5,0.0
490,1,2.0,0.0,-0.5,0.0
491,3,1.0,0.5,0.0,0.0
492,2,0.5,0.5,0.5,0.0
493,3,1.0,-0.5,0.0,0.0
494,3,1.0,0.0,0.5,0.0
495,3,2.0,-0.5,0.0,0.0
496,1,1.0,0.0,0.0,1.0
497,1,0.5,0.0,0.0,1.0
498,3,1.0,-0.5,0.0,0.0
499,2,0.5,0.5,0.5,0.0
